1971;4a9e
0342;0cc3
05c5;a4f2
06cf;a3bf
1b8a;a3d2
1d23;9008
0d4d;7ab2
0d43;9991
04c4;9bbe
11bd;c0db
1ea9;1f4f
0dde;b8ff
1244;d495
0c3b;0162
17bd;b39f
1fdc;fea3
1b4c;cd43
0b30;9799
0e33;be45
0c03;d50e
1b39;ea8a
07ba;b950
05f8;f9a5
1018;90cf
117a;4c7f
1ff2;dc3d
1dd5;a1fc
0e48;0dc8
0b1c;0804
13e2;b820
02fe;120c
0fd5;4a0f
1f82;2473
0017;6430
05d8;c439
1207;9661
187c;3a8e
09b5;c922
0280;6a10
1db8;f4bf
169d;3f00
0d7c;9108
0101;006c
03ef;1b76
1616;1e32
1b85;2bf2
072a;c3d9
15be;a7b3
05f9;ceb4
074a;4c25
0d84;5fbe
0861;9736
12bb;fbc3
0d93;5e9c
1d4e;273c
15e1;46e0
07aa;21a4
151d;6428
06fb;3c4e
127a;dcbb
1a3a;176c
1c64;bad2
0acd;f95a
013a;3b2c
148a;5c30
1acb;c464
0139;11e9
10ba;f74f
1c60;5424
0a6c;0cc5
08cd;a3d6
0f4d;1bc8
0769;f4c1
023b;b4d0
1df1;06f9
1cf3;4bd5
0879;742c
183b;7a73
059f;29b6
01fc;8824
06f4;42df
0239;eaab
0197;1581
04e5;d838
1a88;8217
02f0;05c1
10ff;76f5
046b;aae7
1ef2;09d9
08bd;b903
185d;4cbe
070a;ed37
087b;ce19
1da1;f85f
0a75;cd1b
0120;ab88
0de0;2ea6
0999;93f7
1617;9252
12a3;792d
075d;66fd
1dcb;f7ac
1f71;f6ed
1f8d;9701
0de2;4859
0571;84cf
0734;988a
1371;b1b0
0d4e;4a53
1e06;a4dc
0c5f;4e61
090d;0400
1e33;08e2
191f;3089
1037;4e32
0e66;5d6c
1ebc;f486
1197;3a34
1b0b;56ac
183e;fb9c
02dd;5a58
0743;671d
16ba;2ef3
19b0;ff73
04ab;7826
036b;9f50
118f;a74d
1d30;5c40
1cc1;0428
0c2a;16c7
026c;f7b3
0c2b;649c
0903;4721
1a64;bf70
03bc;35bc
1a36;9e12
0969;1073
0619;4169
1385;b85f
194b;e044
1c33;7431
1f84;dc92
1f85;4211
0f53;bfb0
1f76;115e
0ae9;bc1f
0afc;4ad2
1475;54f9
0e09;bb38
0152;bede
0177;350b
0340;3932
145f;831d
08bb;fad9
1b21;7d43
1bb7;7e3b
01b8;bf4b
0eca;4abd
0abf;bcb9
05f2;a0f6
033f;1900
06ab;ce6b
0346;7d7b
142f;15bb
0f56;c7a9
04ec;6584
1148;cb02
1b45;ce5d
1479;35a4
0489;f61a
0540;2f88
1984;684a
11f1;b8e8
119e;ddc2
0ee8;0467
1292;18ce
0d9d;8e07
1547;8da6
1822;7963
1fef;7f6d
1407;07a1
1ae7;95e8
0612;8f7c
0e4c;d0b6
17e0;9998
127c;9fe6
080c;ffb8
0fc8;3d4a
0424;b6fc
13d3;3f01
026d;2c92
1143;bda0
1847;a89f
0c34;31ec
082d;9e21
0677;6cdc
0648;c191
031e;fdac
0f5a;2d3d
1b6e;2f80
0f05;ee67
1dbe;e648
1b87;be5e
1152;3f87
172b;8427
0dcc;11c4
1078;4d8b
1d76;1a21
06b1;5a25
0b62;4716
0fc3;f458
0bd5;4200
0b19;94e2
0ab7;a8ba
05e6;630a
13d5;b244
1a71;c846
1332;8f9a
1b0d;8e20
1e0f;2d43
0a09;2799
1434;2dec
112d;a6ca
106b;6832
121a;68d1
0a7e;729b
05fc;09e7
1537;2ce4
0d34;0747
1b67;d571
1ff1;aa86
1769;a07e
15a0;d1bb
01fd;db55
0cb0;792a
1ff7;be99
0187;f086
1322;a335
0015;c1d6
1597;7404
1011;9f68
1784;7540
1453;7e23
0a44;d620
161f;8f67
17e4;2028
11bb;79fa
10d9;8f08
0cca;dbb3
0e0f;51b6
1d5f;07a7
0c16;202f
08a1;248f
190e;6fc3
1c90;da45
159e;55f7
1c05;5516
0732;a338
18b6;7e45
07c4;8292
1339;c9d0
01ba;c7b7
0fd7;cb4a
0a65;bdbe
15ec;23cd
1aa6;bfe1
1751;c29e
055a;10de
025b;008c
0a1d;cf88
18aa;8846
0d18;9d30
01a3;740f
006a;6201
0ed2;395e
03a8;6c97
07cf;8285
1ee7;d926
0663;eb9d
19dd;1ba0
0fb4;a557
1aca;50fb
1393;9f68
1c98;945f
12c5;3683
0403;d85b
1f41;1f3f
1215;4fbc
1757;471e
0eb7;e7a6
0395;2977
0ac8;2c2a
1d0d;8202
1016;94b2
0da0;c333
101e;79dc
126d;20a7
1644;1d19
031d;5141
18e0;006a
1d2b;37c6
09bc;1dea
1e26;e987
0652;566d
1edb;b1ad
1928;a3a0
043a;eff3
0577;d215
143c;68e3
1c7e;bc05
01cb;d302
0d9a;71df
075c;8eca
06c6;10e5
17ff;a2df
1117;217b
0d08;5b1f
0c4c;ed6c
14ea;1451
0459;430d
0a5c;7937
198a;93c0
19fa;86b4
0c13;baae
0167;10c2
13b8;0c7e
003a;0a71
1f95;01de
0d4c;762c
0914;c4d2
0093;471c
1586;614c
0e73;c746
033b;b131
097c;8610
1500;985d
0ca8;e4f5
0c97;8fdb
1ccd;fce1
1ca8;e81a
0d4a;1386
044c;7dd2
0b48;7317
00fa;bd3c
1946;6db1
174f;fee2
12c2;3699
09ff;c049
0b03;dc8a
0ab0;1d0f
1791;878f
1243;b3fc
1189;21b1
1fca;1afc
14ae;ee18
1aed;1fc8
1528;6749
011a;b880
109c;eab6
0257;5d3c
0682;1c5f
0144;4f17
1bdf;2d6d
06ef;6773
1725;51dc
0a48;584a
092d;8564
0a2c;38fb
12dc;bc9f
1718;81c8
1dbb;c539
076e;b2e2
1564;bb0f
0b93;fda7
0827;7958
0948;9b92
0ab1;20a3
0d89;1e5d
166c;423a
0a73;80c0
1a99;88f0
193d;df8a
1580;0c77
0c8f;3b7a
0001;cf23
057a;baa6
0b4c;e7b9
0f44;5ff5
137b;8722
01fb;4f4c
1e42;458f
17de;efe1
05d1;15b6
0d17;9a1f
1d56;ef3c
111b;4631
0721;96dd
09df;c153
18ed;9a92
0276;eae2
06b8;02a3
1e21;8d80
0960;f92e
191a;a989
12c9;d28c
0604;b41b
05ac;93f9
0143;0851
06eb;c7f0
10f2;6a2d
052b;49b9
1dd9;56a4
07e6;9daa
0866;dd88
02c2;7e6f
1e90;17aa
1534;af24
14e0;3f6b
1555;be06
15af;fe6d
1c1d;762c
1e3c;b94f
1f61;d7a2
09f2;dc01
0f97;a279
02a2;4150
1de9;df1a
07a2;c6cb
13b2;121d
0a0a;fc1e
15d0;0b74
11af;27cd
009d;b5c9
1e12;b07c
1ba2;c93c
1e70;cdca
03f6;3e07
0830;c393
0cd4;231d
0e0b;8392
15c2;1ae7
03ca;1315
0a97;9333
0218;afa1
1cd6;8800
02fa;82a0
01e5;4a57
1857;ff79
0b24;8b6a
0555;5f61
17b7;fc48
0cbf;5af6
0e26;8384
0852;721c
0ca2;ed90
1cfb;6959
0bb6;30cc
1a1f;223a
1431;a54d
1b0a;7f08
0bd1;286b
137c;dd77
1447;2139
1650;4e00
0eba;3599
1ffb;35e7
1df0;713c
17f2;403a
1288;b1c5
0246;8288
115e;71c0
031f;736f
019f;1bf4
155a;ed61
0253;31ce
05d6;1497
05b4;d54e
1cc9;8671
0e5d;42d3
052a;3402
0c3c;d71a
1af0;a120
1d53;c4c9
168b;67aa
0b4a;ad13
0ebe;8fcb
0ff5;881e
16ea;d8ac
09ae;ae77
1509;953e
1365;ebc0
1f17;6be9
0e49;18b1
060f;4e2e
0b78;3816
1d14;dfa7
14f2;85f9
1905;a28b
0d37;bc21
0115;34d0
09fb;8fe2
0354;f3d8
0135;ec52
16c3;826a
177f;4ab4
033a;cf11
0131;61c8
1736;b8ff
0329;c945
0260;a51e
1b96;32f8
12a1;295c
138c;77fb
0037;0b86
0649;770c
19c7;ba11
108f;80ef
0e30;7177
04de;af9c
1bbc;66a0
0942;aa15
19e4;ab5d
192f;6bcb
1087;d698
10e5;b111
1d5b;2508
0e3a;5b94
1cc3;cba8
0b49;c424
13ce;516f
1e16;4b31
1fc9;153b
1f43;f4a1
1c97;28b6
1231;2cb1
1b54;7cb4
06fd;79c9
0c43;17b3
075f;2af4
0d52;4d20
19f5;f9db
1cc8;3624
051f;16f3
0c11;c74e
0ac4;d53b
0993;dd41
16f9;9bef
1483;edee
00ac;3d88
11e9;d62c
05c7;68f0
1ed4;4523
056a;b095
0767;629b
08fc;8d45
0d25;d859
07a1;a148
0d49;be06
1a13;b78c
0801;1aa4
11f5;5b2f
0fdf;7922
0817;aba5
0fe1;935a
136d;a80b
14b9;f11e
032e;a8e3
0443;e637
0759;41e3
16c4;c0d1
16cf;4744
11d4;c8c7
19d1;7d42
1a8b;1c56
1b2b;5c62
15a1;6ff8
1b7d;8734
1314;86ca
1c6a;7507
005e;30ab
02c5;46ba
1325;a03d
1975;140e
003c;ffb9
1062;4638
0e2c;70f2
1f50;0ed6
0a18;85b6
107f;834d
0f1f;1c4d
1f80;272a
05ab;c63c
17f4;af5f
1de0;b583
0165;0484
1e9b;b252
1032;c137
0f7b;045d
0bda;5d7b
1ff4;f9f0
0fec;0abb
1e0d;fce4
1acc;6f42
1c77;2ac6
191e;550d
0449;416b
16fd;9cc1
1c00;1e98
0006;8257
0a29;3a83
1487;88d7
07e5;4acf
1fd5;4bee
0b98;0b10
1195;458a
0eb5;7903
0625;303f
0e5f;f640
1520;44c9
03e3;eedb
0ca9;6780
1529;5a5f
03d2;6400
1f04;db3b
09ee;95b1
045d;9d77
12ad;a9d9
09b6;92fe
1124;3837
0298;7514
1e14;db4b
12ab;d5dd
0e7f;f045
0e5b;ea56
189e;516f
07ef;6cce
02ce;cba8
1342;39b5
0480;98f5
1e07;1df1
0566;9cf8
19e2;713c
0e13;ee1b
1da2;7851
1f66;79c8
177a;e212
1f16;2eeb
1e46;1590
0e89;7d39
06e7;ea9d
0c87;92fc
0821;5bf3
084d;7c33
1d93;cae7
15cc;396b
16a5;eacc
1bcc;7cc6
0910;cc1a
1679;288b
00f9;9e51
0dd1;98b0
1663;c05b
1c65;6a37
13c8;c155
0ad7;eb29
0897;d3d3
1e7a;03c0
1272;62ee
1e62;a215
0c9a;1f1e
12aa;e9d7
176b;286d
1c96;b549
061d;07e6
0f83;3ab5
1be6;d75e
0ff8;c171
1398;4e2b
1aa7;5cc7
0c8b;d49a
16ee;b891
0233;1e81
0e9b;5653
003d;e33a
0eb3;da68
15cf;04c2
0518;b1f0
0e9e;4bbd
105d;8891
1ec7;1da1
0df0;0e9c
14d3;19df
1e9c;ce54
1695;a645
0d4f;e6b0
093b;46bf
1052;f3df
0241;0ba8
06f8;0934
198e;949a
04bb;c398
08a3;a7dc
1a5c;1637
0624;fde0
083c;b6dc
0043;ffcd
0e10;2dc0
1f1e;c7e9
1e6e;8e5e
0a9c;efae
1592;c158
00ff;3ad1
0f24;1fa1
091e;3bad
0c9c;d7c1
10f4;e5a1
1898;dfdb
01b7;5b13
1137;bace
06b2;454b
0cd7;92c6
008e;b6ff
04f2;7b47
1ba1;df85
00e8;b0f4
0a56;80e9
0e62;1865
0757;61d9
180f;7a6c
06d0;0261
07a0;6d87
077c;ecf0
165c;1fee
18cf;8e7b
08cb;42ed
0ded;eb02
03f4;2016
1bc5;fb8e
13ae;0a6c
1a0e;1c87
10c2;8380
08df;dc44
01a6;74f0
15f8;213b
1a9a;f39a
15ed;031f
1158;8491
0216;7bc9
0a36;5366
1446;601b
1fd9;e865
1ded;09ed
1800;41f6
10ae;6434
1076;f2bd
1f5e;33a2
11c3;a425
04ce;1502
0021;89fd
179e;83a9
1e0b;20c2
0515;8ab4
1a3e;0cf1
03fe;4dab
1a4d;0426
1229;f0d5
17d4;1f52
19e1;aed5
134b;a473
1edc;b92b
1ab7;2f90
11df;59dd
1d83;7ae1
0cd3;f677
0027;45a0
0eec;e6cc
0fac;b30b
000e;d70e
049c;8aa4
0e6d;36f4
0859;8476
15a6;cbf1
17c5;b35b
04f4;a097
090e;c615
0e23;7679
1cbe;8b4d
1210;9f9d
1d27;d245
0dce;5fd3
1093;cf75
02a4;b183
1cdb;5f30
1b43;20f0
033c;c4bc
0ea2;d5f8
111a;ffd6
13dc;e7a1
0b27;2957
1e9e;1525
1ecf;08ee
0965;3ec0
00b6;2fa0
0f16;64cf
058b;b0b1
1e49;1760
083b;05c1
1359;f5b8
0d64;a831
1d67;febf
071f;e5ce
1dc9;a6fa
079a;d065
0621;2116
0b86;9b57
1ffd;d220
1731;11a1
0bf9;48d4
141c;9b6d
0517;383a
0892;dd6b
16c7;c537
0efd;1ae8
14ff;3ae2
0df5;84c6
0707;393f
14ce;5c3a
0723;d6e5
08dc;d62f
1641;ba34
15f4;a4c4
0d76;8217
0df3;fe0f
0a99;4680
19a4;e0f1
12be;49cf
131a;79d7
1780;21b8
07bb;574c
037f;eb1f
1fb9;00b9
1443;2345
041b;7187
15e0;faa0
0a52;5763
110c;c47e
132a;ed6f
0396;9940
181a;a2ef
0b66;37b4
1ed2;ae56
1d28;2600
1248;8bbb
1c88;b988
172d;9651
083a;4d50
0951;09d3
07fd;ca9b
1fb1;71f3
135d;3a9d
00d5;5bb3
08ab;c10e
0469;45a2
1796;bb11
1ceb;90a9
0b14;d264
1a12;25df
0a39;086d
0c4f;48a2
0af8;8247
0e70;be83
08b5;07dd
0bfe;acb1
0f48;4ae2
1538;9c35
01b6;e7bc
14cd;4909
123e;f5d3
10d4;26b3
1eac;1ca0
1079;9738
0901;7aea
0f3a;7e26
04d1;d4e5
01ac;2be2
1f2a;abd4
00cc;b95d
0a90;1f68
0a1b;d8cf
0882;4ca9
0f78;ac2c
1563;6fb6
08b1;2b56
0ac5;7575
1e25;3185
12af;0fce
02b2;ac33
1d34;6b40
08ca;1587
1eef;0362
143f;5c91
1d51;98d7
0bc2;c905
082b;16db
1db6;5b5e
149e;359e
0b22;833d
0a89;3bf0
0a3a;faa5
19e3;d842
01ea;7288
1bb6;f5f0
14f6;117d
176f;84e2
1b91;314e
1990;266c
1f8f;c6e4
01ed;aa5f
1c28;c58e
1005;0ca4
011f;98c0
10e0;ac22
18db;bbec
007f;97ea
0701;cfb6
126b;e8a8
0c17;9945
1327;bb0d
0153;f4b9
0b7e;1dd8
0524;fd9b
17aa;aa45
1a70;5700
0e11;9a98
0709;c610
0313;e132
07ce;97c0
16d0;9936
10d3;4fe1
1c7d;9bf6
19a8;8cdf
148f;bd1e
1fff;7e0d
0b8c;8f37
0470;8eaf
0222;260b
07b4;d75a
14d7;7b14
0b9d;5b33
0585;0c98
17dd;533c
1a0b;9d41
0e85;801d
1ba4;742f
0296;4580
1876;9f91
0712;fac6
1673;350c
0878;af89
05c6;05ad
00bb;2396
18ec;55d3
1b66;f097
0d75;9f3e
1ef3;1b9c
0e14;440e
1c5e;0796
0c63;53f1
19a0;f0fe
126a;0536
1601;4bae
01a0;82fd
0088;5ad9
1fc4;cf27
031b;03d4
0d5c;8937
10a8;b564
1470;31d2
0039;cee2
0733;d9f4
030f;2eed
03ec;82c9
0d63;80a0
0b0b;a797
05ca;118e
0b17;7d4e
1101;665a
047a;b52c
11ae;33a1
16dc;1075
0626;a65b
0ac9;ed42
0020;7cb0
00aa;7e5e
15b4;2328
1f6b;2340
1b17;0004
020d;68e7
1429;f5f8
1fa4;23fd
1110;6e25
102d;7664
0080;f594
0a63;ac82
1236;c3b4
0be6;b4cf
1425;19b0
05cd;d3bc
104b;614f
0060;cdca
10fd;2dc5
1502;7841
1eba;0e83
19ea;ab48
1ce6;c088
1d5e;80e3
156c;9a66
029c;1fd4
1e9d;6fa1
07af;0ad8
12ce;1c75
0ec5;6a99
1f26;b0af
0b6e;0a3b
06b7;5f77
0332;752d
08d4;1744
16be;ca81
002e;dfe1
1b58;4128
1b19;e43b
1a53;0a5b
0ee9;06db
0d3d;790e
0d19;7a61
088e;bb86
0a80;4526
19c1;7232
0cb2;452c
183f;890f
0b97;2196
00f6;2820
186f;2209
17bf;fc35
17b6;42c8
0edf;7f01
065d;af52
169e;2b3d
12eb;cc14
0690;ec6e
1903;a57b
1dba;8a38
1e4c;ea4e
1eee;8ce1
1bc7;0089
151e;421e
0cfc;5ae0
18e6;1d6d
18c3;db49
1e0a;97a0
0133;71d3
005b;2128
1abb;43e0
0cb9;2c8e
0a2a;469b
14e5;ee04
0c68;44ad
109e;a95f
047c;2c78
02cb;2759
1c61;0826
0a2b;4b87
1b0f;f3d2
0768;4ff7
1c8a;1f5b
02fb;91bf
186a;5188
1313;5186
1b3b;3f6f
1768;0ac0
12fa;f029
0a8f;d3c1
110f;7276
185a;48c1
0137;d021
1067;813f
14ec;c677
026e;cde9
163c;c96f
0c08;b484
19c0;1b3a
0485;8c0f
10ac;3652
09e9;cc11
19c6;eefc
083e;15ea
0b87;b1ca
0479;f140
0997;292c
18e1;a818
01af;97bd
17a6;d29d
07b2;6a06
1841;fcfb
0c69;050e
09b7;c3cd
1285;4922
1e69;55c3
04a2;d00a
080a;fbd0
1d4d;86f7
1182;5374
11f3;50e4
1321;cfb7
1eb8;b88a
1348;1143
134c;d9dd
093f;0bcc
160e;9d29
0af0;215d
129c;947f
090b;e5c6
1fd6;9e0d
14a6;fa7a
1700;c284
1233;c27e
1fdf;c963
00f7;2c88
02d4;7687
1915;0455
0600;a1f0
02d2;f1cf
1626;9f80
1cda;5135
0ec8;d174
0bd2;2f82
16ca;7170
07d9;d132
16fa;1ef4
1c4a;30bf
04e3;73b2
160b;e89e
1f20;6a2f
0411;3393
08da;39b3
0235;18d9
1ac5;e49c
011d;6b03
08ac;4dac
170f;4220
07b5;610c
132b;dad3
093c;19bb
1506;a9e2
17d5;b333
0a81;b8ba
131e;c2e8
189b;5426
0ed6;96c5
041f;7cc4
1fee;1a79
1e03;065e
07db;77b3
0586;3a91
1a9d;bc2e
1da6;60f9
1f3f;808f
1a81;7fc5
1728;fe6b
0d8c;3832
0ae5;3e79
1165;695b
15a4;24d1
1d5c;4a70
16d8;1b65
00f5;1810
1178;bc06
180a;3d12
1b2a;983f
092a;2327
0c35;4999
115b;4b76
0f6c;e4ed
1058;b0bf
0cd8;53a8
029e;6592
03ae;6f8d
124b;9053
1fc7;e2c9
1ba3;6d03
0341;9c54
105f;95ba
0c5b;6a73
0018;4cf2
0f87;736e
1d46;9ae0
0696;6bc8
00d6;0779
077e;7942
0905;99da
1f46;42e6
0c2f;cd03
0d80;100b
04df;17c9
06ba;d032
0247;5cc4
15f0;15ee
0b20;d322
0380;67f3
19a5;5410
0636;4b2a
1247;d63c
06e3;a71c
1782;6352
0746;678d
0023;01e5
0758;6981
1536;c5d9
1328;37a0
0808;beff
0472;9d51
0c8e;85ff
1e8e;7815
0cec;6999
17e2;2afd
16f1;33b3
0fa8;9dab
1598;d16e
1c19;8ad7
16b7;6ef2
0e3d;4a7c
19b2;0ce5
0195;9ec0
02e7;2d8f
1f08;29ee
1935;426a
15bb;1fe4
155e;e809
09dc;e397
1c0e;84ec
1606;556c
073c;e796
0a9f;79af
0cfe;5bc4
0389;051e
1824;ab5b
06c4;fa27
0c6e;1e92
0ed7;da2d
1436;afac
1296;2423
0f46;57cf
178c;5939
1406;289e
17ee;aba6
10af;f7e5
0bc6;dbb3
1c2f;1a7e
15d2;a178
17e6;3576
0596;de95
0e4a;84ee
17e9;0903
12d1;25d4
0d7b;4bbe
0657;fab5
19c9;6210
01ee;4b4d
1fe1;141f
08e6;6e8a
1fd0;7cca
12f3;f41d
1200;97e5
0766;b8e6
00a0;dd47
1bc1;aa28
0d69;9495
1d90;2b52
0467;4939
08c6;0384
154d;0a87
066c;34dd
16c2;a9ce
0780;7836
1b06;d0d1
0900;b489
1b15;da1b
1951;5867
0552;1efc
03f8;6e25
0279;28ab
068f;a93a
10f1;ea83
095f;6903
0dc9;6c73
0344;da02
00a3;d61c
1be2;e2d4
1811;8caa
0bb1;c2ca
00e0;28dd
1bf8;f0bd
0aff;17dd
14e6;828a
113b;c982
0eae;d336
1627;821b
057d;db4a
08e2;863a
11c6;a3d8
0f2c;8213
1063;8e36
0589;8a5b
1892;885f
013f;af4f
0b21;1d2e
097b;3d6b
1c34;3191
15d1;b6bb
1ee0;36e3
15ba;801d
0d3b;2b0b
18dc;f325
0798;6e89
1c73;4017
1b3f;e843
076b;f6b4
16c5;9b80
1218;c2d4
1ee1;9d3b
06ad;4f15
10ec;6004
060a;ae5d
1e61;985f
162e;8c19
178e;9dc9
0ac0;c4fb
196e;33ff
1b13;e67e
1e55;e74e
1681;3aa7
1963;ae47
1222;489f
06db;c5cf
1a6c;7e34
19ec;4713
07f4;0e2a
0c7d;6589
07ac;d7a6
12d3;b534
151a;af16
1ff0;f4db
0c19;6526
1936;a0a6
1f37;20e7
171a;085c
14c8;9d48
090a;0339
002b;cea7
0437;89b9
09dd;d49e
1c39;3ed9
01ad;c1a4
00db;77fb
12d9;64d5
0089;4593
0717;2f2a
0925;8c5b
0267;9e90
18cd;426a
0549;9f23
0f27;160f
1877;643b
1eec;948f
036e;2b46
14d2;bfa2
1f8a;4ad3
1d1a;7c95
0337;4c9c
0ccb;cc0a
1df4;3efe
132d;4f82
01b2;ea3e
068b;947a
15a2;886c
0f71;04cb
04c3;7396
1020;8b1d
13f2;73ca
14b1;8491
00e9;62bc
1665;3d27
1609;f997
1341;d964
1f1f;92af
023c;bfef
0a4b;bf78
0cc7;855d
1468;648f
0d9c;1597
0455;67f0
0f02;489d
0cdf;0b73
085a;1489
1082;0690
0f84;7b1c
022d;ff59
0583;81b9
0ada;4a00
161a;3194
01ec;d676
1e7b;e303
1088;1662
06e4;52e0
0ee7;ea5b
1e37;9778
0061;5cc3
0ccf;e7ad
0386;28a0
0ebd;5e69
1558;7c62
138f;cbf2
0bac;c973
0651;005f
1e0e;ce2e
03c3;a5aa
13a5;ae80
0171;99d1
14ab;4781
1466;0088
0ffc;4659
042d;b7b3
176a;914d
1e35;8c77
1c79;f81b
155f;ed14
0438;dd23
1d75;0b0e
03ba;629c
1e28;f785
1e2e;2e73
194d;53c9
0dfa;8418
0954;ee89
0e8d;2153
1e87;e376
1ebd;dd5f
11a1;d6fe
09b8;ef98
022e;9bb2
1381;9ef6
01a5;c421
1080;5edb
0927;7a57
1d01;1267
0e51;a21d
0fe4;10b2
0311;dcb1
1722;acd3
096b;035d
1304;e68d
0f79;c102
188e;65c8
0908;9482
0e76;fd8b
1241;eef3
1a69;2345
04f6;1861
0b64;7915
0bc7;8f6d
1186;3498
1440;a020
0c72;9376
11e2;5257
16b2;87b9
0feb;b8d3
0c50;2346
0a26;da73
079e;f382
1524;2329
0dc2;7c92
0fed;95cf
0825;2eb5
1994;1ae6
1c32;e13f
0270;71e7
0209;f7c6
1c11;1b68
0362;17ad
0b0f;cfc4
0c1a;8dee
0cae;acd4
06bd;1722
0b0d;60f3
1fac;3757
0d66;4859
1786;05f2
045c;d14b
1e3f;a85b
1430;7491
1d43;6f6a
05dc;5260
113c;35bc
1b25;8085
0acf;44c5
1382;505e
0095;f882
0f0f;fbe7
067c;7118
03b8;3c9d
0656;8e9a
1fc0;f19b
0d0a;c605
173a;1f1a
08de;aead
1a8e;caa6
02b5;123e
0208;51f5
0639;fd9b
0dcf;a476
00e6;09ca
1cd3;148d
120b;83e1
021d;a102
06dd;0dde
1864;5f12
17d1;098f
110d;715f
0db1;d650
0536;6fcb
0492;b607
02f9;02b3
1e53;b6bd
1bd6;4a85
1344;8798
0bab;4777
1f8e;30f6
0824;c3db
1014;c1fd
02f1;5b1a
1250;fb09
1008;9f77
17c4;f29a
1209;ebad
13fc;30e4
019b;e50f
09bd;b850
1c87;cfda
1855;0636
014d;f571
0b2e;a261
0071;870d
1e40;df54
1d1e;cd1b
0ed5;b690
1668;e801
1588;c58a
0c1b;bb28
1ec2;7d6f
1ce1;3cd2
05de;7299
0350;097b
097d;7bbe
0b8a;a6f4
119a;72da
0ff4;bd69
1335;0a13
108e;5e6c
00d3;ecf4
0bdb;9438
0d94;2e3a
07b7;a5f9
00c4;c923
130e;8281
0219;8e2f
1af8;5e9b
0cb5;f1d7
01c5;bf37
03e4;f04a
0d6a;a23e
1b26;1f8c
1445;4e18
1b89;0dc8
0875;efaf
0452;1cff
1e2d;3b02
1012;08e2
0c89;e4a9
141e;b27d
1eb7;5df9
1d7d;7f61
1848;2e5a
0df7;1471
0beb;87cc
07b1;6cb2
05ff;912b
0dd3;2e75
0912;b66c
0633;c930
0368;ef0a
0bbd;2ffc
1fbf;18bc
1962;b5e9
12ac;bed8
05e7;63b8
066e;f36c
158e;c083
1993;5ff9
017d;190c
0cab;931b
1f79;d36a
1103;c76d
1176;f805
1cd9;20b2
1b9c;d233
082f;fb10
13fb;da07
10c6;1a9b
18ee;92a0
0c0f;b30e
0e24;550c
11ce;96b0
02d0;38d9
0738;5450
1e38;9910
1980;a0b5
09fc;bdb6
03c5;1fd4
1618;063b
03f5;8cdc
1c59;3759
0215;e195
005d;5151
0ae8;a7fb
1dca;603c
1565;1865
0a7d;9079
1a6b;981b
0d71;3d22
1039;8a34
14dd;d160
112a;6fe3
0b9a;96a0
19fc;fbdb
0a43;5b61
1729;9f8c
0e46;1a58
0085;76cc
1043;2564
0e7a;2634
0fa0;9ff8
0be2;d462
0491;fcfc
1084;65de
1e5d;c64e
1aa3;ec7a
1f36;e48b
18be;5671
15e5;e3f0
02e5;8865
0fea;ad09
145d;c81e
1828;fd79
196c;c13c
1e39;a854
1d24;9394
0025;45ad
074f;27eb
1ec8;3a47
1228;2976
00da;a3f0
04fb;9280
1b4d;c82b
1747;0041
09f8;f826
099f;4e1d
06e9;6283
0847;be33
006e;902b
0573;1a68
14d1;6bab
1ab0;b0f6
156d;e418
1df2;3231
02d5;d098
0fae;fdc6
11b4;9d4d
14e9;3092
065f;3048
0977;48ae
0236;1f72
18d0;b3f5
1f83;56b7
0f9f;b686
0ea8;1abc
1d8f;53e6
04d3;ad04
0322;aa9b
0a94;47e8
1777;931b
0d11;b745
1174;c20b
0a6f;5adf
1db1;30a1
15d7;0d0b
19fd;2a98
099b;a8e8
1fa2;0145
0d0f;2563
034f;9555
0f33;e37f
0237;29ba
1522;3b8c
15ee;c303
111e;1f3d
1f63;c5e6
1c29;3d59
03da;5b04
056f;430a
1312;9ac7
0038;155e
1364;244c
064e;91c5
0d70;0ffc
11c9;ab0e
19cb;2f62
1511;99bd
0c33;6fc5
0be3;3c7a
0df8;a69f
110e;4b26
058a;dda6
0102;16d2
033e;5d16
0429;4184
0fe7;4ea9
00b2;eadc
1b3a;45aa
0a4c;b224
11c0;be28
1f90;a62a
131c;a2cd
0b34;dbaa
08ce;ba22
182a;2da8
0465;1bd2
0393;1bc6
130d;d87b
16c0;243c
05a7;2273
1ce7;13fa
0e60;651c
0f37;56bf
0d02;b964
108c;24a3
1378;0a65
0c0e;17d5
198d;060e
0147;af3b
1237;9c36
17d0;3547
07ec;59d7
1d10;9516
0cc4;9409
0453;6336
11b6;7d20
1282;9406
14c3;e1f6
040b;3a79
0c54;c99c
1925;3656
12ca;487d
09ce;fc5c
0d50;d04a
0405;e8c2
17b8;da72
18ff;9bb1
0835;5782
06f7;c7bf
186c;9bc2
1706;ade6
07c5;d9d7
0fb0;6b74
0ae6;6d67
1179;a3b0
0904;f030
17be;1f8b
07ea;7ca0
0cee;85fb
0e59;2691
0748;25a1
0273;953b
1cd2;14a2
19e5;c2b0
1006;fe60
0e22;66f8
09da;9e5c
1478;2fb9
1b95;dd66
184d;e52a
14ac;224d
0087;08ce
0b53;0cb5
0f6b;877e
08c0;a51c
1e32;fd55
0af3;14e5
0ad5;ccbb
1a4e;a123
1884;337b
1455;1cc6
1ef6;495e
0869;2134
04d2;28ef
03d0;2a62
04c9;84a3
143d;0fc8
